phylum,class,order,family,genus,species,asv_id,ndf,ddf,f.value,p.value,fdr.bh
Bacteroidota,Saprospiria,Saprospirales,Haliscomenobacteraceae,Phaeodactylibacter,Phaeodactylibacter xiamenensis,ASV543,4,9.857592463088451,1.1803501166735508,0.3772718892583863,0.7472161139564862
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ascidiaceibacter,Ascidiaceibacter salegens,ASV544,4,93.99999999990885,7.654966801336574,2.2028646329105904e-5,0.0034278337485137192
Bacteroidota,Cytophagia,Cytophagales,Reichenbachiellaceae,Reichenbachiella,Reichenbachiella faecimaris,ASV545,4,93.9999999982445,0.9184816576876487,0.4566232038928235,0.7810833965286793
Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Henriciella,Henriciella algicola,ASV548,4,91.05650050490654,1.9421974395833412,0.11013355877820513,0.48755755234396425
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas communis,ASV551,4,80.1007538755602,2.4471540386044808,0.05295186406862608,0.38260825478385097
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,Thalassotalea loyana,ASV553,4,10.966075491790855,1.4908689369172707,0.2710240770953731,0.6850353563978849
Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Rhodopirellula,NA,ASV557,4,90.28689564601063,4.220113140853645,0.003537402831616551,0.13292783423403703
Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Halobacteriovoraceae,Halobacteriovorax,Halobacteriovorax marinus,ASV558,4,19.17157409485919,2.197079242666698,0.1077882848129896,0.48755755234396425
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Rubritalea,NA,ASV559,4,11.275115326087489,1.0742846873354892,0.41395027263633016,0.7693226765033683
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,NA,ASV560,4,12.026538052532104,2.8443172939125705,0.0716029919961699,0.4240216068687378
Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,NA,ASV562,4,9.633404018204669,0.9321367016546276,0.4848010699369236,0.7947778982877166
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,Curvibacter lanceolatus,ASV564,4,14.221276887224391,2.746110368206524,0.07002101433796429,0.42226958646670304
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV565,4,79.74784998318555,0.9302461202809107,0.4507592411447642,0.778726317748266
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV566,4,9.596466433571534,0.9799128461002965,0.46235385806497287,0.7852193314884381
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens,ASV568,4,11.098656617603728,0.7492318309303166,0.5785484731154285,0.8363427699008896
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureicoccus,Aureicoccus marinus,ASV575,4,11.185357428680232,3.0648571047395268,0.06256215414054665,0.3930661855189018
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,NA,ASV582,4,10.323996646053576,1.3252939229644092,0.3239665440992697,0.7091267687506239
Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,NA,ASV594,4,26.28235757023794,2.409373192062281,0.07461632337453254,0.4240216068687378
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Algicola,Algicola bacteriolytica,ASV595,4,93.99999999743628,2.759488877711166,0.03216986474385905,0.30419824101793114
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV599,4,14.238083442161205,4.106679868852502,0.020440137499058507,0.26549717059216654
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV601,4,11.435062714480225,0.14468616937644876,0.9617483676575858,0.9833793863073239
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ascidiaceibacter,Ascidiaceibacter salegens,ASV602,4,22.96331259901329,5.775636451396808,0.0022825095561008315,0.12416460975046108
Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium tuberculostearicum,ASV603,4,26.481482252201932,0.7525375334052835,0.5652566808165043,0.833084035816843
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,NA,ASV606,4,10.123706912179326,1.312401338190135,0.3292776130714986,0.7180925067352608
Pseudomonadota,Gammaproteobacteria,NA,NA,Sedimenticola,Sedimenticola selenatireducens,ASV609,4,72.49643938928006,0.8613930435122287,0.49136356285747074,0.8010920431690075
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV617,4,12.410977045059926,3.023921153926575,0.059599376375338395,0.38920697721353587
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV620,4,94.00000000025422,1.53054854996059,0.1996332391132798,0.6147695410220962
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA,NA,ASV621,4,26.453661440384753,0.6367398955733159,0.640837343971439,0.848230392580337
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,Kordia zhangzhouensis,ASV629,4,9.953100790635009,6.2918930141756855,0.008597552751538357,0.1613317034411278
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Aureispira,Aureispira maritima,ASV630,4,21.892682249677293,2.6052660552716667,0.06385786411428938,0.3968834979928386
Bacteroidota,Flavobacteriia,Flavobacteriales,NS9 marine group,NA,NA,ASV635,4,70.59026148359666,2.976969859147787,0.024858953534289446,0.2706182963949564
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pseudofulvibacter,Pseudofulvibacter geojedonensis,ASV636,4,26.33429399251007,0.7945917573712411,0.5393420764688361,0.8215236267862942
Myxococcota,NA,Nannocystales,Nannocystaceae,NA,NA,ASV641,4,76.86160564334065,0.9630993167151223,0.43270477476504154,0.7700873739336882
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudooceanicola,NA,ASV645,4,23.228247572883596,5.348878250307668,0.003344172636140449,0.1317604018639337
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia insidiosa,ASV646,4,26.031014031141012,3.405875423660379,0.022848336912959885,0.26961198053687163
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV648,4,23.721960844269045,0.6245424499769799,0.6495746770993989,0.8544684002854087
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Rubritalea,NA,ASV649,4,9.587055089553347,2.6301821637258564,0.10071384464090279,0.48555478071352826
Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,NA,ASV653,4,17.373093102316197,3.288349075332689,0.0354470272759959,0.3160764245882929
Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,NA,NA,ASV657,4,9.874770202622457,1.3677084366252963,0.31307367735701713,0.7074345743959134
Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA,ASV660,4,27.636487925252982,4.718512723759829,0.0049678096954561355,0.14507563693597697
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV661,4,11.597028682460142,0.8851005239689169,0.5026766526172244,0.8051000045983187
Bacteroidota,Cytophagia,Cytophagales,Fulvivirgaceae,Fulvivirga,NA,ASV662,4,91.09851906283014,1.8690341435181732,0.12262050450163378,0.508177217235473
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV669,4,12.244715389389349,0.7503229706697885,0.576183005556868,0.8363427699008896
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV670,4,9.496977073103912,3.7715222664655164,0.04278182529255299,0.3463569691492989
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV671,4,12.054218929372825,0.39331346585552834,0.8096106025333417,0.9175556767201508
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV672,4,68.71055823019087,0.7391577940907548,0.5685131966878554,0.8337253082941005
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,Aestuariibacter halophilus,ASV675,4,11.365250658905376,0.27405057615643486,0.8888162765584733,0.9498922593961261
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,NA,NA,NA,ASV679,4,10.923071920581895,0.9495087646879607,0.4721265282063478,0.786221558205855
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA,ASV680,4,91.3292715237635,1.6965986666254853,0.15756916417329891,0.5570444308793701
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,NA,NA,NA,ASV681,4,10.227134813470906,3.9149409735059173,0.035452270341548346,0.3160764245882929
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Salinimonas,Salinimonas iocasae,ASV682,4,79.11458614369826,2.6165180509147254,0.04125179437975871,0.33673642792971
Myxococcota,NA,Polyangiales,Polyangiaceae,Chondromyces,NA,ASV683,4,91.25305338866983,0.585113788921991,0.6742083519532238,0.8680983355214712
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas luteoviolacea,ASV684,4,18.542980266856834,1.4402796035105203,0.2602816553040096,0.6836731479318652
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter pacificensis,ASV685,4,26.48195615487614,0.335178793544939,0.8517766672243218,0.9418147994940583
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV686,4,14.021050045138619,1.4455073727240462,0.2707793892197364,0.6850353563978849
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Methyloceanibacter,Methyloceanibacter caenitepidi,ASV688,4,16.131214460758077,2.2402188786236974,0.10998379619297388,0.48755755234396425
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,ASV689,4,15.405599482331882,1.9556932611464555,0.15201072823983058,0.5536321705949483
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA,ASV690,4,19.36299694152919,0.6729704281660353,0.6186890068028807,0.8414345378963953
Pseudomonadota,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,NA,ASV699,4,12.608774693421271,0.7609399205038184,0.5694516503045611,0.8340667294423684
Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,NA,ASV705,4,22.7245041213925,0.6472163633599914,0.6345717775013859,0.8460284933692535
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Actibacter,Actibacter sediminis,ASV713,4,15.244935477472088,0.7282756240781738,0.5861917052826232,0.8372908765498263
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oleispira,Oleispira lenta,ASV717,4,12.926838654974219,2.7597317317434342,0.07357558596376418,0.4240216068687378
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,NA,ASV718,4,11.334881631924903,1.9750572959088075,0.16613566049288778,0.5697941443132153
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,NA,ASV724,4,80.34841568303527,0.3879380506689893,0.8166885741341624,0.9204394956388764
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV728,4,11.51828953888699,1.1972520203744454,0.36338445786723633,0.7435489902051091
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,NA,ASV735,4,24.914602178511128,1.167151179750199,0.34910270113232633,0.7394971196028848
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens,ASV740,4,16.99281489428483,2.591573693007601,0.07376810694741137,0.4240216068687378
Pseudomonadota,Gammaproteobacteria,Chromatiales,Oceanococcaceae,Oceanococcus,Oceanococcus atlanticus,ASV742,4,60.443272875779506,0.22137591846950605,0.9254932294281578,0.9663719056396489
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA,ASV745,4,14.190613368011467,0.5808549965323704,0.6814169989298362,0.8698825877778489
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,NA,ASV747,4,77.84056552206155,0.9164619967599232,0.45872923719432457,0.7835519629533115
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,ASV749,4,24.27666451024084,1.752473428471447,0.17109473518002405,0.577811362807967
Pseudomonadota,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,Kordiimonas laminariae,ASV751,4,93.999999996969,0.8506829969516505,0.4966916018699804,0.8043786219536532
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV752,4,91.31369519129774,3.951325766935659,0.00528610138493939,0.14507563693597697
Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,Hyphomonas atlantica,ASV753,4,93.99999999854779,0.808136488486462,0.5230361711952771,0.8122454058921568
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV755,4,28.361071258172746,1.0593914536715063,0.39467346965302774,0.7522412760298702
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV757,4,24.178970341220335,0.6824597911787309,0.6109080910555886,0.8397818013334163
Pseudomonadota,Gammaproteobacteria,Thiohalobacterales,Thiohalobacteraceae,Thiohalobacter,Thiohalobacter thiocyanaticus,ASV760,4,15.915552361231947,2.620971805737176,0.07416748695587247,0.4240216068687378
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter,Phaeobacter italicus,ASV763,4,10.2093685439567,0.7877425486179974,0.5583066108810275,0.8321188157312119
Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Mariniblastus,Mariniblastus fucicola,ASV767,4,93.99999999758793,0.9320807048424653,0.4488755352888256,0.778726317748266
Bacteroidota,Flavobacteriia,Flavobacteriales,Cryomorphaceae,NS10 marine group,NA,ASV768,4,27.08432249759452,3.3051741694159995,0.02499355034428334,0.2706182963949564
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gilvibacter,Gilvibacter sediminis,ASV779,4,27.983102989311742,0.7878160712767094,0.5428724795463038,0.8232769739360367
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Thalassolituus,Thalassolituus maritimus,ASV781,4,68.39676133623959,0.0765543530850615,0.9891617065574436,0.996583792807556
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,NA,NA,ASV784,4,94.00000000098383,0.701201729124851,0.5930501481695098,0.8372908765498263
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV786,4,25.518721418105528,0.4320892814037158,0.7841167347111697,0.9104380947235782
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Fastidiosibacteraceae,NA,NA,ASV787,4,28.20002551526037,2.26559923681418,0.08707999485856385,0.4453338213294764
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,ASV788,4,9.87269646179095,2.6468790226001326,0.09739558367649323,0.4776829041726764
Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,NA,ASV789,4,25.679638934924988,0.8612697911053578,0.5002672236810695,0.8043786219536532
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA,ASV791,4,26.412565217879724,0.9316588002085203,0.46072200221764437,0.7846879057943165
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Celeribacter,NA,ASV795,4,93.99999999948027,4.363412010703985,0.002791222076158698,0.12416460975046108
Lentisphaerota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,NA,ASV799,4,93.9999999988858,0.18482209396521881,0.9457704239122957,0.9784139861472158
Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA,ASV801,4,24.086890134545133,0.09872245525025125,0.9818497054962851,0.9953227717809683
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,NA,NA,NA,ASV802,4,26.2996809325351,0.7589046233409572,0.5613326146247068,0.8321188157312119
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,NA,ASV805,4,93.99999999758697,0.643223825827091,0.6330153460088992,0.8460284933692535
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV810,4,91.33029887244444,1.195839285203859,0.31804841915333276,0.7074345743959134
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Pseudoteredinibacter,Pseudoteredinibacter isoporae,ASV816,4,11.170760496541712,1.4088586768687303,0.29345806607582753,0.6953455855497098
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,ASV817,4,24.15763200212663,0.2189263102152745,0.9252768862433607,0.9663719056396489
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV819,4,90.75329631618682,1.417635490607184,0.23447037520886957,0.6490491416788848
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,ASV820,4,91.09761285263615,0.5086453195005375,0.7294828849576107,0.8896415026652928
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV824,4,14.506810576656763,0.08017303152341618,0.987208148707693,0.9964816667570394
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Fucophilus,Fucophilus fucoidanolyticus,ASV825,4,16.931513506296596,1.6287294400930334,0.21303437715721105,0.632679984421667
Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,NA,ASV831,4,15.134335355840438,1.2378212393171728,0.3365199318276906,0.7294482632706352
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Cohaesibacteraceae,Cohaesibacter,Cohaesibacter gelatinilyticus,ASV838,4,14.973751504783879,1.64710513445118,0.21441230897769792,0.6351763138136314
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,Moraxella osloensis,ASV841,4,17.217556484822218,1.1996271526243987,0.346492913327184,0.7379362586535703
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Rubritalea,Rubritalea tangerina,ASV843,4,28.3773283369875,0.45944054880871943,0.7647790546583043,0.9005653585591871
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,ASV846,4,22.7283088092253,1.110005710437044,0.37606792786517235,0.7472161139564862
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Marinicella,NA,ASV850,4,91.24725592630311,2.2524977201855325,0.06946399195347862,0.42105865891800887
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV852,4,15.118503507709475,0.8557832250769183,0.5121109928358094,0.8066276736090259
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,ASV853,4,27.748263296689498,1.9775389331268556,0.1256491710385102,0.5103687978265259
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,NA,NA,ASV854,4,18.28098816067256,1.4429863454974918,0.26001567490064353,0.6836731479318652
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia,NA,ASV858,4,26.231373410176605,2.010892591802708,0.12217463368993041,0.508177217235473
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia lutea,ASV859,4,80.66065989351071,2.5221024396924694,0.04730761109894287,0.3686410355291699
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV860,4,22.77503945879395,1.5490437900372127,0.2217719254699848,0.639931950321052
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,ASV861,4,69.60650859006502,1.346248231382747,0.2616092909972202,0.6837454563762453
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oleispira,Oleispira lenta,ASV865,4,93.99999999613624,0.7173992858694961,0.5821188603603913,0.8370614269415845
Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Fuerstiella,Fuerstiella marisgermanici,ASV868,4,23.050847726915162,0.6728774309452249,0.6175079051426624,0.8414345378963953
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Thalassolituus,Thalassolituus maritimus,ASV869,4,26.50304090420968,0.32642999752761176,0.8577004419971106,0.9452230246471071
Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA,ASV870,4,16.527915986055916,0.44340191216641994,0.77560813315773,0.9070108498643714
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas halophila,ASV871,4,91.346620965095,1.6046697991218486,0.17984686957763074,0.588861495403766
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV872,4,91.00253506383976,1.0287396590390616,0.39682028838482586,0.7522412760298702
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,ASV875,4,80.81260635502852,0.9804438459781418,0.4229780388012715,0.7700873739336882
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,ASV877,4,24.356760335174645,1.673544429726857,0.18840584902268517,0.5998421157011707
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio xuii,ASV886,4,27.173594834152293,0.7763591284811898,0.5501968982159038,0.828033844799202
Bacteroidota,Cytophagia,Cytophagales,Reichenbachiellaceae,Reichenbachiella,Reichenbachiella faecimaris,ASV887,4,10.784383484218537,0.5912008920256516,0.676277490424135,0.8686462729964858
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Limimaricola,Limimaricola pyoseonensis,ASV893,4,23.6727101605427,3.251240082257023,0.029175223281384024,0.28520380168296827
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,NA,ASV894,4,25.74355944893936,1.5477453149192812,0.21817163194454853,0.639931950321052
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA,ASV895,4,93.99999999917183,1.8939602128389947,0.11792149711234687,0.5038770010212801
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA,NA,ASV899,4,91.30546602011678,0.7631741115174429,0.5519199988824335,0.828033844799202
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV902,4,15.511976375619007,0.5356980038914839,0.7116375910936388,0.882499862640713
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV903,4,11.518451251076623,1.6714428601969373,0.2231890508732401,0.639931950321052
Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,NA,NA,ASV907,4,73.07891937529381,1.495465523705453,0.21242533159682458,0.6324603071724098
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,NA,NA,NA,ASV912,4,10.507013439223721,5.809566300265146,0.010053157202118492,0.17246688487872927
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Sessilibacter,Sessilibacter corallicola,ASV914,4,93.99999999828452,1.65676771175007,0.1666092902112563,0.5697941443132153
Pseudomonadota,Gammaproteobacteria,Chromatiales,NA,NA,NA,ASV915,4,78.73221432955117,0.9003580324930156,0.46794838952083195,0.786221558205855
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV917,4,90.41024645099019,1.047950700445464,0.38707265593882556,0.7522412760298702
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,NA,NA,ASV922,4,94.00000000020117,1.254685357298861,0.2934191394926621,0.6953455855497098
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV928,4,11.177374166354388,1.1203745678665076,0.3949873281200552,0.7522412760298702
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter vinifirmus,ASV931,4,27.335242021024417,1.3000525551259834,0.29465161245143484,0.6953455855497098
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,NA,NA,NA,ASV933,4,11.303682712575167,2.1346067933448998,0.14270209800927797,0.5382223646941092
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV935,4,11.041394178010641,1.3970677172813353,0.2976636235148778,0.6953455855497098
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus haemolyticus,ASV936,4,10.795028523747073,0.12445261719471423,0.9705487705620444,0.9864046834087157
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella algicola,ASV937,4,93.99999999889432,0.17904564593367941,0.9487124797816147,0.9784139861472158
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,NA,ASV938,4,23.906655161827562,0.17769029161315872,0.9477002870721947,0.9784139861472158
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,ASV942,4,70.05380555047363,0.8301513720264888,0.5105000305527012,0.8066276736090259
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum xiamenense,ASV945,4,25.095687560093115,0.16740363146280923,0.9529702174230579,0.980340119228942
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptuniibacter,NA,ASV946,4,26.258073872831428,1.2941426525719892,0.2978458932596281,0.6953455855497098
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV948,4,93.99999999888423,0.4717099721562028,0.7563694506240218,0.8991930495634638
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,DEV007,NA,NA,ASV949,4,27.52081964525299,3.269911229791085,0.025782386698240085,0.27209625961892664
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV953,4,91.20692341274213,0.37139617600957087,0.8284708902067226,0.9299644750468625
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,NA,ASV954,4,73.6733222793052,0.7392247245316892,0.5682437543543025,0.8337253082941005
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,NA,ASV955,4,91.18011205742418,0.5814432167430393,0.6768385934261958,0.8686462729964858
Pseudomonadota,NA,NA,NA,NA,NA,ASV956,4,24.319518195720192,0.6021335253342175,0.6647199255768901,0.8615120088068904
